"Element","Tox","Residential_A","Residential_B","Recreational_C","Industrial_D"
"Arsenic","As",100,500,300,3000
"Beryllium","Be",60,90,90,500
"Boron","B",4500,40000,20000,300000
"Cadmium","Cd",20,150,90,900
"Chromium(VI)","Cr",100,500,300,3600
"Cobalt","Co",100,600,300,4000
"Copper","Cu",6000,30000,17000,240000
"Lead","Pb",300,1200,600,1500
"Manganese","Mn",3800,14000,19000,60000
"Mercury_(inorganic)","Hg",40,120,80,730
"Methyl_mercury","CH3Hg",10,30,13,180
"Nickel","Ni",400,1200,1200,6000
"Selenium","Se",200,1400,700,10000
"Zinc","Zn",7400,60000,30000,400000
"Cyanide_(free)","CN",250,300,240,1500
