"Group","SampID","Type..sediment.or.soil.","Easting","Northing","Depth_upper_cm","Depth_lower_cm","pH","EC","Sample.ID","Group.1","Sample","ICP.Sample.ID","weight","volume","Al","As","Ba","Ca","Cd","Ce","Co","Cr","Cu","Fe","Gd","K","La","Li","Mg","Mn","Mo","Na","Nd","Ni","P","Pb","S","Sr","Th","V","Y","Zn","Longitude","Latitude"
1,"G1S1","Sediment",399989,6468038,NA,"",7.62,3.25,"Group 4 Sample 1",4,"1","ENVT 3361_AR dig_1",0.301,20,11530.429,2.84,45.142,798.092,0.023,14.882,1.784,22.248,93.661,32507.01,1.904,1553.812,9.038,7.104,810.3,49.603,2.932,353.926,6.82,5.022,113.89,70.887,2276.466,9.18,9.118,31.694,1.628,30.1,115.942136187067,-31.9191471036149
1,"G1S2","Sediment",399981,6468037,NA,"",7.15,5.37,"Group 4 Sample 2",4,"2","ENVT 3361_AR dig_2",0.305,20,20310.961,15.862,31.098,1780.052,0.906,23.112,10.944,45.239,172.649,60515.527,2.791,1430.588,12.554,14.302,2342.807,51.882,4.567,1435.835,10.885,12.546,448.883,70.765,12418.36,22.09,14.182,90.875,4.611,514.684,115.942051476348,-31.9191554194424
1,"G1S3","Sediment",399971,6468035,NA,"",5.59,11.65,"Group 4 Sample 3",4,"3","ENVT 3361_AR dig_3",0.307,20,11396.64,13.899,16.268,861.029,0.74,24.092,13.557,20.42,206.927,35730.078,2.373,696.601,11.535,9.014,1249.403,35.659,3.303,1910.867,10.411,9.667,232.78,67.901,9508.542,11.589,6.647,26.072,5.088,419.567,115.941945510475,-31.9191725794357
1,"G1S4","Sediment",399958,6468028,NA,"",4.95,8.82,"Group 4 Sample 4",4,"4","ENVT 3361_AR dig_4",0.304,20,15019.043,2.751,66.906,708.632,0.069,26.018,4.086,22.998,26.281,18919.436,1.981,971.041,12.083,13.251,1203.1,36.109,3.504,1274.289,11.031,5.519,138.873,25.809,1494.597,18.32,9.399,32.87,4.204,57.013,115.941807300329,-31.9192345769868
1,"G1S5","Sediment",399944,6468023,NA,"",4.01,8.56,"Group 4 Sample 5",4,"5","ENVT 3361_AR dig_5",0.303,20,23688.514,3.263,77.777,951.773,0.049,26.445,4.646,51.393,24.168,37175.589,2.7,1814.273,13.514,22.425,2356.118,49.904,6.545,2793.347,11.725,9.046,92.248,11.417,1356.209,25.68,19.798,79.97,4.46,39.653,115.941658720654,-31.9192784455084
1,"G1S6","Sediment",399930,6468017,NA,"",4.84,13.09,"Group 4 Sample 6",4,"6","ENVT 3361_AR dig_6",0.301,20,30297.69,2.444,45.039,1501.018,0.103,88.743,8.624,50.362,36.159,38361.311,6.343,2376.757,41.224,28.323,2425.485,90.249,2.866,3452.918,34.369,17.428,287.984,27.989,5956.044,24.093,14.613,63.233,20.792,102.875,115.941510037528,-31.9193313342366
1,"G1S7","Sediment",399919,6468014,NA,"",4.89,24.34,"Group 4 Sample 7",4,"7","ENVT 3361_AR dig_7",0.301,20,26872.601,26.16,55.385,2808.897,1.411,43.799,21.594,43.084,522.617,70015.748,4.469,1431.164,21.508,24.071,3168.899,86.13,4.795,6490.209,19.458,21.86,1264.762,207.434,13009.731,41.444,10.94,61.985,11.458,1134.565,115.941393392086,-31.9193574260266
1,"G1S8","Sediment",399908,6468006,NA,"",5.16,6.63,"Group 4 Sample 8",4,"8","ENVT 3361_AR dig_8",0.302,20,18427.4,4.233,44.975,1370.198,0.335,24.295,6.066,34.491,183.562,25409.929,2.006,1244.139,12.875,18.774,2040.581,51.322,3.022,3988.242,9.937,10.978,513.337,61.501,5310.19,27.442,12.018,44.079,4.747,249.737,115.941276229891,-31.9194286196229
2,"1S","Sediment",399981,6468052,0,"15",6.67,12940,"Group 1 Sample 1",1,"1","ENVT 3361_AR dig_10",0.296,20,8995.658,4.759,26.518,5180.437,0.188,11.383,29.368,11.002,18.978,28836.119,1.244,889.301,8.376,5.973,3377.715,78.634,2.287,14529.719,4.697,9.439,630.308,31.13,32366.325,60.518,2.083,17.713,3.014,4176.907,115.942053025263,-31.9190201136567
2,"2S","Sediment",399969,6468080,0,"15",3.53,1341,"Group 1 Sample 2",1,"2","ENVT 3361_AR dig_11",0.337,20,37131.035,6.047,67.998,3283.108,0.626,93.038,19.682,80.387,75.768,44686.902,6.511,3265.872,48.59,37.764,5394.597,46.337,5.368,19143.91,36.624,24.418,544.448,43.231,17944.005,83.624,15.674,82.507,22.98,1215.075,115.941929005883,-31.9187664859213
