Year,SampID,Type,DepthType,Longitude,Latitude,As,Co,Cr,Cu,Mn,Ni,Pb,Zn
"""2019""",2019_1_1,Drain_Sed,Surface,115.9421362,-31.9191471,4.76,29.4,11,19,79,9.4,31.1,4176.9
"""2019""",2019_1_2,Lake_Sed,Surface,115.9420515,-31.91915542,6.05,19.7,80.4,75.8,46,24.4,43.2,1215.1
"""2019""",2019_1_3,Lake_Sed,Surface,115.9419455,-31.91917258,3.12,9.3,50.6,54.7,56,21.5,32,417.9
"""2019""",2019_1_4,Lake_Sed,Surface,115.9418073,-31.91923458,NA,9,65.4,62.9,54,22,41.8,269.6
"""2019""",2019_1_5,Lake_Sed,Surface,115.9416587,-31.91927845,6.95,6.7,55.1,50.5,41,19.7,34.7,172.8
"""2019""",2019_1_6,Lake_Sed,Surface,115.94151,-31.91933134,3.61,7.4,55.5,58.3,38,18.4,36.9,176.1
"""2019""",2019_1_7,Lake_Sed,Surface,115.9413934,-31.91935743,4.69,8.5,52.2,59.9,38,17.1,39.4,184.6
"""2019""",2019_1_8,Lake_Sed,Surface,115.9412762,-31.91942862,4.27,6.2,50.5,56.4,35,17.4,36.1,134
"""2019""",2019_1_9,Lake_Sed,Surface,115.9419441,-31.91929887,6.65,16.7,30.9,51.1,51,22.8,25.2,800.8
"""2019""",2019_2_1,Drain_Sed,Surface,115.942053,-31.91902011,1.66,9.7,4.1,NA,22,3.8,9.6,1259.4
"""2019""",2019_2_2a,Drain_Sed,Surface,115.941929,-31.91876649,NA,2.7,2.8,NA,6,NA,3.3,224
"""2019""",2019_2_2b,Drain_Sed,Core,115.941929,-31.91876649,1.1,5.5,5.6,NA,16,NA,6.4,459
"""2019""",2019_2_3,Drain_Sed,Surface,115.9418352,-31.91864843,7.38,33,16.2,201.2,75,10,28.3,2789.3
"""2019""",2019_2_4,Drain_Sed,Surface,115.9416148,-31.91849323,1.28,4.3,3.8,NA,11,NA,6.2,502.9
"""2019""",2019_2_5,Drain_Sed,Surface,115.9415626,-31.91843867,0.99,4.5,3,8.8,9,NA,6.8,380.7
"""2019""",2019_2_6,Drain_Sed,Surface,115.9414906,-31.91825765,2.79,25.1,4.7,7.7,78,NA,9.2,981.6
"""2019""",2019_2_7,Drain_Sed,Surface,115.9413455,-31.91799482,2.13,29.9,7.1,NA,139,NA,10.7,700.6
"""2019""",2019_2_8,Drain_Sed,Surface,115.9421771,-31.91926472,7.57,40.7,19.9,44.3,152,15.7,40,5210.4
"""2019""",2019_2_9,Drain_Sed,Surface,115.9423097,-31.91969885,1.04,15.1,54.6,27.1,199,18.8,24.3,113.6
"""2019""",2019_2_10,Drain_Sed,Surface,115.9419698,-31.91890215,4.7,10.4,11.9,19.2,27,5.6,24.9,1120
"""2019""",2019_3_1,Drain_Sed,Surface,115.9429658,-31.91966822,6.84,12,36.4,78.6,103,14.8,39.2,232.6
"""2019""",2019_3_2,Drain_Sed,Surface,115.9431578,-31.91952548,5.26,7.9,34.3,25.7,67,12.3,23.3,59
"""2019""",2019_3_3,Drain_Sed,Surface,115.9432008,-31.91946269,8.54,16.7,30.6,70.3,115,17.3,49.9,189.3
"""2019""",2019_3_4,Drain_Sed,Surface,115.9433181,-31.91938247,11.52,18.5,36.4,217.1,73,17.8,72.4,403.4
"""2019""",2019_3_5,Drain_Sed,Surface,115.9434358,-31.91926617,4.31,25.5,49.8,58.1,123,23.5,48,314.8
"""2019""",2019_3_6,Drain_Sed,Surface,115.9435529,-31.91919498,7.39,18,51.5,48.5,102,22.6,33.8,164.3
"""2019""",2019_3_7,Drain_Sed,Surface,115.9436598,-31.91909663,5.61,12.6,47.7,36.5,77,18.7,30,136.4
"""2019""",2019_4_1,Drain_Sed,Surface,115.9462441,-31.91693495,2.84,1.8,22.2,93.7,50,5,70.9,30.1
"""2019""",2019_4_2,Drain_Sed,Surface,115.9461374,-31.91701526,15.86,10.9,45.2,172.6,52,12.5,70.8,514.7
"""2019""",2019_4_3,Drain_Sed,Surface,115.9458918,-31.91722071,13.9,13.6,20.4,206.9,36,9.7,67.9,419.6
"""2019""",2019_4_4,Drain_Sed,Surface,115.9457212,-31.91734559,2.75,4.1,23,26.3,36,5.5,25.8,57
"""2019""",2019_4_5,Drain_Sed,Surface,115.9454756,-31.91755104,3.26,4.6,51.4,24.2,50,9,11.4,39.7
"""2019""",2019_4_6,Drain_Sed,Surface,115.9451337,-31.91784591,2.44,8.6,50.4,36.2,90,17.4,28,102.9
"""2019""",2019_4_7,Drain_Sed,Surface,115.944589,-31.91831049,26.16,21.6,43.1,522.6,86,21.9,207.4,1134.6
"""2019""",2019_4_8,Drain_Sed,Surface,115.9442475,-31.91857829,4.23,6.1,34.5,183.6,51,11,61.5,249.7
"""2019""",2019_6_1,Lake_Sed,Surface,115.9457408,-31.91748107,13.84,10.9,56,417.7,74,25.1,472.8,257.3
"""2019""",2019_6_2,Lake_Sed,Surface,115.9458256,-31.91746374,4.37,9,66.6,127.4,65,24.3,90.8,138.7
"""2019""",2019_6_3,Lake_Sed,Surface,115.9458785,-31.91746417,19.2,9.1,58.4,386.5,64,21.8,831.1,191.6
"""2019""",2019_6_4,Lake_Sed,Surface,115.9459629,-31.91748292,5.39,9.5,61.8,116.1,75,21.1,84.5,156.2
"""2019""",2019_6_5,Lake_Sed,Surface,115.9460372,-31.91745647,NA,10.2,58.2,99.5,94,22.4,71.2,214.5
"""2019""",2019_6_6,Lake_Sed,Surface,115.9461219,-31.91744815,6.56,19.2,59.6,260.6,195,38.8,123.6,344.1
"""2019""",2019_6_7,Lake_Sed,Surface,115.9461853,-31.9174577,4.75,11.4,62.5,110.3,107,24.6,59,195.2
"""2019""",2019_6_8,Lake_Sed,Surface,115.9462699,-31.9174584,4.43,8.8,58.9,89.6,97,21.7,45.8,126.9
"""2019""",2019_6_9,Lake_Sed,Surface,115.946365,-31.91746821,2.76,12.8,60.1,101.9,104,25.4,50.4,205.5
"""2019""",2019_6_10,Lake_Sed,Surface,115.94646,-31.91747802,6.88,16.1,60.7,155,105,32.3,71.8,405.4
"""2019""",2019_5_1,Lake_Sed,Surface,115.9456031,-31.91749797,26.72,26.9,41.6,1007.8,1399,19.4,241.4,724.8
"""2019""",2019_5_2,Lake_Sed,Surface,115.9454771,-31.91741574,4.94,9.5,66.1,97.7,65,25,44.3,203.1
"""2019""",2019_5_3,Lake_Sed,Surface,115.9453507,-31.91736958,3.82,14.2,65.6,225.4,95,30.6,63.6,320.3
"""2019""",2019_5_4,Lake_Sed,Surface,115.9452979,-31.91736012,5.17,13.3,66.5,192.8,84,34.7,53.3,333
"""2019""",2019_5_5,Lake_Sed,Surface,115.9452245,-31.91730538,6.77,14.1,64.9,213,88,33.3,47.7,286.1
"""2019""",2019_5_6,Lake_Sed,Surface,115.9451089,-31.91724128,3.09,15.2,62.8,179.7,97,32.6,44.6,340.5
"""2019""",2019_5_7,Lake_Sed,Surface,115.9450142,-31.91719538,4.82,12.5,70,92.5,84,31.1,29.4,206.6
"""2019""",2019_5_8,Lake_Sed,Surface,115.9449513,-31.91714975,3.48,12.6,61.4,92.7,89,29.9,30.7,197.7
"""2019""",2019_5_9,Lake_Sed,Surface,115.9448361,-31.91704956,6.98,18.7,50.1,82.3,167,25.4,24.8,322.7
"""2019""",2019_7_1,Drain_Sed,Surface,115.9476751,-31.91665813,4.52,7.4,38.8,17.8,60,12.8,19.6,37.4
"""2019""",2019_7_2,Drain_Sed,Surface,115.9476105,-31.91675683,17.23,10.8,39.3,215.2,60,16.8,121.1,534.9
"""2019""",2019_7_3,Drain_Sed,Surface,115.9474842,-31.91670166,10.12,11.7,30.3,40.5,73,20.2,24.2,70.3
