Year,Group,GSample,Type,DepthType,Longitude,Latitude,pH,EC,Al,As,Ba,Ca,Co,Cr,Cu,Fe,K,Li,Mg,Mn,Mo,Na,Ni,P,Pb,S,Sr,V,Zn,REE
2021,ENVT3361.5,5_1,Saltmarsh,Surface,115.9469346,-31.91667004,5.67,10.18,18988,23.5,49,2946,7.6,25.8,314,51813,1397,13.6,2646,60.3,2.8,10249,13,2060,116.2,3437,66,34.6,225.3,177.6
2021,ENVT3361.5,5_2,Saltmarsh,Surface,115.9472734,-31.91663676,6.33,0.12,6068,25.1,23,2152,7.3,13.8,149,43494,348,2.9,527,70,1.2,221,7,547,57.2,919,15.8,17.8,144.3,25.8
2021,ENVT3361.5,5_3,Saltmarsh,Surface,115.9463899,-31.91713463,5.49,5.58,35628,3.2,118,1192,7.7,54.2,141,37073,3194,51.5,3028,45.4,2,7564,22,602,36.7,1468,103.2,70,81.7,403.2
2021,ENVT3361.5,5_4,Saltmarsh,Surface,115.9470037,-31.91710363,4.43,17.1,29508,4.6,93,779,5,56.2,58,39619,3765,21.5,4832,50.5,1.1,21611,16,386,26.8,3687,76.3,72.1,21.9,191
2021,ENVT3361.5,5_5,Saltmarsh,Surface,115.9473019,-31.91692568,5.25,3.12,30408,12.8,191,1951,16,66.9,140,69310,2713,19.2,3217,337.9,4.6,6319,50,402,91.5,1662,58.5,73.3,164.8,221.5
2021,ENVT3361.5,5_6,Saltmarsh,Surface,115.9477463,-31.91691132,6.73,0.22,28926,7,104,2998,13.4,52.2,155,39010,2799,15.6,2842,375.4,3.2,1826,19,648,72.3,1620,111.7,65.9,172.7,173.5
2021,ENVT3361.6,6_1,Saltmarsh,Surface,115.9457726,-31.91747232,6.06,11.34,33250,22.1,98,2374,9.5,53.5,282,56920,3498,36.2,3856,55.9,5.7,15158,20,2412,629.7,2779,165.6,63.6,295.9,268.3
2021,ENVT3361.6,6_2,Saltmarsh,Surface,115.9461616,-31.91767401,6.3,12.21,33208,8.3,72,1890,16.1,66.6,144,50323,3940,34,5398,97.6,1.4,16737,33,926,54.6,2758,45.9,80.6,133.9,278.6
2021,ENVT3361.6,6_3,Saltmarsh,Surface,115.9468406,-31.91749922,6.41,13.36,29753,5,82,3301,12.6,56.4,170,32387,3754,35.8,4854,113.4,1.7,17533,28,1061,137.9,2870,133.5,66.1,208.7,308.2
2021,ENVT3361.3,3_1,Pond_Sed,Surface,115.946293,-31.91728719,7.61,3.27,12406,NA,26,2704,3.3,21.2,38,12229,1065,4.7,1510,2014.2,0.3,4117,6,81,15.3,380,25.6,13.7,65.2,36
2021,ENVT3361.3,3_2,Pond_Sed,Surface,115.9464516,-31.9172885,8.36,3.28,14042,6.7,65,12125,6.6,79,132,38650,1322,5.5,4773,3330.7,1.8,4306,22,258,36.8,458,64.8,24.1,133.2,47.3
2021,ENVT3361.3,3_3,Pond_Sed,Surface,115.9465785,-31.91728956,7.35,2.59,11527,3.8,22,961,4.6,30.4,105,28965,766,4.3,1010,1447.7,0.7,4066,14,228,34.7,619,16,16.5,109.3,30.7
2021,ENVT3361.3,3_4,Pond_Sed,Surface,115.9466644,-31.91718201,6.42,7.63,32704,NA,97,1748,9,65.2,62,38327,3605,34.3,3838,105.8,1.2,12259,25,329,31.6,1457,79,79.3,124.5,332.3
